4.06,s,81.74,MB/s,738923.64,iops,average=,82.78,MB/s,748293.42,iops
5.08,s,83.45,MB/s,754351.01,iops,average=,82.91,MB/s,749505.81,iops
6.09,s,82.95,MB/s,749813.96,iops,average=,82.92,MB/s,749557.18,iops
7.11,s,83.80,MB/s,757526.15,iops,average=,83.05,MB/s,750695.62,iops
8.13,s,83.86,MB/s,758023.42,iops,average=,83.15,MB/s,751611.90,iops
9.14,s,78.59,MB/s,710446.30,iops,average=,82.64,MB/s,747036.18,iops
10.16,s,81.59,MB/s,737517.86,iops,average=,82.54,MB/s,746084.79,iops
11.17,s,85.40,MB/s,771953.49,iops,average=,82.80,MB/s,748436.01,iops
12.19,s,82.03,MB/s,741550.22,iops,average=,82.73,MB/s,747862.04,iops
13.21,s,83.74,MB/s,756935.37,iops,average=,82.81,MB/s,748560.16,iops
14.22,s,82.30,MB/s,743963.56,iops,average=,82.77,MB/s,748231.68,iops
15.24,s,83.63,MB/s,755998.73,iops,average=,82.83,MB/s,748749.58,iops
16.25,s,84.08,MB/s,760023.34,iops,average=,82.91,MB/s,749454.50,iops
17.27,s,81.66,MB/s,738176.30,iops,average=,82.84,MB/s,748791.01,iops
18.29,s,83.94,MB/s,758767.80,iops,average=,82.90,MB/s,749345.16,iops
19.30,s,84.42,MB/s,763078.80,iops,average=,82.98,MB/s,750068.36,iops
20.32,s,82.08,MB/s,741970.60,iops,average=,82.93,MB/s,749663.41,iops
21.33,s,80.78,MB/s,730181.11,iops,average=,82.83,MB/s,748735.94,iops
22.35,s,84.31,MB/s,762113.98,iops,average=,82.90,MB/s,749343.84,iops
23.37,s,82.55,MB/s,746174.40,iops,average=,82.88,MB/s,749206.04,iops
24.38,s,83.99,MB/s,759198.69,iops,average=,82.93,MB/s,749622.32,iops
25.40,s,84.40,MB/s,762895.17,iops,average=,82.99,MB/s,750153.33,iops
26.41,s,84.43,MB/s,763232.11,iops,average=,83.04,MB/s,750656.36,iops
27.43,s,83.05,MB/s,750709.97,iops,average=,83.04,MB/s,750658.35,iops
28.45,s,80.49,MB/s,727573.20,iops,average=,82.95,MB/s,749833.57,iops
29.46,s,84.58,MB/s,764578.63,iops,average=,83.01,MB/s,750341.84,iops
30.48,s,58.22,MB/s,526309.47,iops,average=,82.18,MB/s,742872.48,iops
31.49,s,78.25,MB/s,707336.33,iops,average=,82.05,MB/s,741731.56,iops
32.50,s,51.22,MB/s,462970.15,iops,average=,81.09,MB/s,733030.49,iops
33.51,s,64.27,MB/s,580954.78,iops,average=,80.59,MB/s,728449.54,iops
34.52,s,47.60,MB/s,430305.41,iops,average=,79.62,MB/s,719713.85,iops
35.53,s,16.77,MB/s,151576.46,iops,average=,77.83,MB/s,703568.32,iops
1.00,s,80.85,MB/s,730804.23,iops,average=,80.85,MB/s,730804.23,iops
2.01,s,83.75,MB/s,757032.90,iops,average=,82.31,MB/s,744012.19,iops
3.03,s,84.38,MB/s,762744.88,iops,average=,83.00,MB/s,750286.48,iops
4.04,s,82.83,MB/s,748729.50,iops,average=,82.96,MB/s,749895.77,iops
5.06,s,83.47,MB/s,754551.76,iops,average=,83.06,MB/s,750829.37,iops
6.07,s,82.54,MB/s,746150.90,iops,average=,82.97,MB/s,750047.67,iops
7.09,s,83.81,MB/s,757608.67,iops,average=,83.09,MB/s,751130.15,iops
8.10,s,81.68,MB/s,738368.13,iops,average=,82.92,MB/s,749531.73,iops
9.12,s,80.20,MB/s,724992.29,iops,average=,82.62,MB/s,746800.84,iops
10.14,s,84.24,MB/s,761440.07,iops,average=,82.78,MB/s,748272.76,iops
11.16,s,83.12,MB/s,751333.48,iops,average=,82.81,MB/s,748552.53,iops
12.18,s,83.54,MB/s,755159.13,iops,average=,82.87,MB/s,749106.67,iops
13.20,s,84.31,MB/s,762076.60,iops,average=,82.98,MB/s,750110.19,iops
14.22,s,83.64,MB/s,756077.86,iops,average=,83.03,MB/s,750538.92,iops
